region,year_month,transaction_count
과천시,2025-04-01,26
과천시,2025-05-01,111
과천시,2025-06-01,111
과천시,2025-07-01,11
과천시,2025-08-01,25
과천시,2025-09-01,69
과천시,2025-10-01,71
과천시,2025-11-01,5
과천시,2025-12-01,8
과천시,2026-01-01,13
과천시,2026-02-01,14
과천시,2026-03-01,23
과천시,2026-04-01,23
광명시,2025-04-01,165
광명시,2025-05-01,388
광명시,2025-06-01,624
광명시,2025-07-01,255
광명시,2025-08-01,338
광명시,2025-09-01,583
광명시,2025-10-01,524
광명시,2025-11-01,198
광명시,2025-12-01,298
광명시,2026-01-01,353
광명시,2026-02-01,300
광명시,2026-03-01,332
광명시,2026-04-01,197
성남시 분당구,2025-04-01,283
성남시 분당구,2025-05-01,780
성남시 분당구,2025-06-01,1272
성남시 분당구,2025-07-01,226
성남시 분당구,2025-08-01,336
성남시 분당구,2025-09-01,1022
성남시 분당구,2025-10-01,625
성남시 분당구,2025-11-01,87
성남시 분당구,2025-12-01,262
성남시 분당구,2026-01-01,358
성남시 분당구,2026-02-01,274
성남시 분당구,2026-03-01,238
성남시 분당구,2026-04-01,193
성남시 수정구,2025-04-01,54
성남시 수정구,2025-05-01,123
성남시 수정구,2025-06-01,260
성남시 수정구,2025-07-01,73
성남시 수정구,2025-08-01,117
성남시 수정구,2025-09-01,296
성남시 수정구,2025-10-01,213
성남시 수정구,2025-11-01,46
성남시 수정구,2025-12-01,110
성남시 수정구,2026-01-01,204
성남시 수정구,2026-02-01,123
성남시 수정구,2026-03-01,118
성남시 수정구,2026-04-01,76
성남시 중원구,2025-04-01,83
성남시 중원구,2025-05-01,188
성남시 중원구,2025-06-01,235
성남시 중원구,2025-07-01,94
성남시 중원구,2025-08-01,89
성남시 중원구,2025-09-01,264
성남시 중원구,2025-10-01,181
성남시 중원구,2025-11-01,36
성남시 중원구,2025-12-01,129
성남시 중원구,2026-01-01,181
성남시 중원구,2026-02-01,148
성남시 중원구,2026-03-01,133
성남시 중원구,2026-04-01,82
수원시 영통구,2025-04-01,225
수원시 영통구,2025-05-01,552
수원시 영통구,2025-06-01,772
수원시 영통구,2025-07-01,359
수원시 영통구,2025-08-01,343
수원시 영통구,2025-09-01,647
수원시 영통구,2025-10-01,705
수원시 영통구,2025-11-01,346
수원시 영통구,2025-12-01,410
수원시 영통구,2026-01-01,400
수원시 영통구,2026-02-01,513
수원시 영통구,2026-03-01,564
수원시 영통구,2026-04-01,357
수원시 장안구,2025-04-01,116
수원시 장안구,2025-05-01,229
수원시 장안구,2025-06-01,335
수원시 장안구,2025-07-01,154
수원시 장안구,2025-08-01,162
수원시 장안구,2025-09-01,208
수원시 장안구,2025-10-01,207
수원시 장안구,2025-11-01,108
수원시 장안구,2025-12-01,187
수원시 장안구,2026-01-01,180
수원시 장안구,2026-02-01,262
수원시 장안구,2026-03-01,252
수원시 장안구,2026-04-01,161
수원시 팔달구,2025-04-01,80
수원시 팔달구,2025-05-01,157
수원시 팔달구,2025-06-01,254
수원시 팔달구,2025-07-01,146
수원시 팔달구,2025-08-01,123
수원시 팔달구,2025-09-01,194
수원시 팔달구,2025-10-01,196
수원시 팔달구,2025-11-01,114
수원시 팔달구,2025-12-01,162
수원시 팔달구,2026-01-01,171
수원시 팔달구,2026-02-01,270
수원시 팔달구,2026-03-01,233
수원시 팔달구,2026-04-01,149
안양시 동안구,2025-04-01,229
안양시 동안구,2025-05-01,619
안양시 동안구,2025-06-01,815
안양시 동안구,2025-07-01,326
안양시 동안구,2025-08-01,312
안양시 동안구,2025-09-01,654
안양시 동안구,2025-10-01,683
안양시 동안구,2025-11-01,159
안양시 동안구,2025-12-01,427
안양시 동안구,2026-01-01,417
안양시 동안구,2026-02-01,425
안양시 동안구,2026-03-01,483
안양시 동안구,2026-04-01,298
용인시 수지구,2025-04-01,337
용인시 수지구,2025-05-01,751
용인시 수지구,2025-06-01,1049
용인시 수지구,2025-07-01,311
용인시 수지구,2025-08-01,432
용인시 수지구,2025-09-01,897
용인시 수지구,2025-10-01,803
용인시 수지구,2025-11-01,254
용인시 수지구,2025-12-01,580
용인시 수지구,2026-01-01,627
용인시 수지구,2026-02-01,619
용인시 수지구,2026-03-01,469
용인시 수지구,2026-04-01,323
의왕시,2025-04-01,90
의왕시,2025-05-01,210
의왕시,2025-06-01,299
의왕시,2025-07-01,119
의왕시,2025-08-01,110
의왕시,2025-09-01,208
의왕시,2025-10-01,198
의왕시,2025-11-01,82
의왕시,2025-12-01,147
의왕시,2026-01-01,153
의왕시,2026-02-01,167
의왕시,2026-03-01,168
의왕시,2026-04-01,110
하남시,2025-04-01,132
하남시,2025-05-01,355
하남시,2025-06-01,649
하남시,2025-07-01,252
하남시,2025-08-01,304
하남시,2025-09-01,622
하남시,2025-10-01,592
하남시,2025-11-01,153
하남시,2025-12-01,303
하남시,2026-01-01,245
하남시,2026-02-01,277
하남시,2026-03-01,254
하남시,2026-04-01,131
