region,before_count,after_count,lawd_cd,count_change,count_change_pct,before_daily_avg,after_daily_avg,daily_avg_change_pct,parent_city
과천시,384,126,41290,-258,-67.1875,2.098360655737705,0.6923076923076923,-67.00721153846155,과천시
성남시 분당구,4257,1699,41135,-2558,-60.08926474042753,23.262295081967213,9.335164835164836,-59.86997498625405,성남시
하남시,2638,1631,41450,-1007,-38.172858225928735,14.415300546448087,8.961538461538462,-37.833148655741525,하남시
성남시 수정구,1044,769,41131,-275,-26.340996168582375,5.704918032786885,4.225274725274725,-25.93627636731085,성남시
광명시,2616,1939,41210,-677,-25.879204892966364,14.295081967213115,10.653846153846153,-25.47194777699365,광명시
성남시 중원구,1052,791,41133,-261,-24.809885931558938,5.748633879781421,4.346153846153846,-24.3967534366774,성남시
안양시 동안구,3313,2534,41173,-779,-23.513431934802295,18.103825136612024,13.923076923076923,-23.0931760663122,안양시
의왕시,1142,919,41430,-223,-19.527145359019265,6.240437158469946,5.049450549450549,-19.08498681703586,의왕시
용인시 수지구,4127,3325,41465,-802,-19.433002180760845,22.55191256830601,18.26923076923077,-18.99032636856722,용인시
수원시 영통구,3197,2996,41117,-201,-6.287144197685331,17.469945355191257,16.46153846153846,-5.772238396573721,수원시
수원시 장안구,1304,1257,41111,-47,-3.604294478527607,7.1256830601092895,6.906593406593407,-3.074647744893138,수원시
수원시 팔달구,1049,1200,41115,151,14.394661582459486,5.73224043715847,6.593406593406593,15.023203679066393,수원시
