deal_date,transaction_count,rolling_14d
2025-04-15,137,161.57142857142858
2025-04-16,151,161.125
2025-04-17,140,158.55555555555554
2025-04-18,170,154.8
2025-04-19,344,154.45454545454547
2025-04-20,57,170.33333333333334
2025-04-21,132,163.15384615384616
2025-04-22,158,162.64285714285714
2025-04-23,138,164.78571428571428
2025-04-24,121,170.92857142857142
2025-04-25,151,180.78571428571428
2025-04-26,345,180.07142857142858
2025-04-27,77,171.0
2025-04-28,156,169.0
2025-04-29,167,164.14285714285714
2025-04-30,237,161.92857142857142
2025-05-01,278,164.07142857142858
2025-05-02,160,167.71428571428572
2025-05-03,217,172.35714285714286
2025-05-04,29,175.5
2025-05-05,64,176.14285714285714
2025-05-06,127,177.64285714285714
2025-05-07,168,177.71428571428572
2025-05-08,172,172.64285714285714
2025-05-09,216,165.85714285714286
2025-05-10,389,168.5
2025-05-11,86,181.35714285714286
2025-05-12,177,185.28571428571428
2025-05-13,168,193.78571428571428
2025-05-14,166,198.42857142857142
2025-05-15,183,199.07142857142858
2025-05-16,197,200.0
2025-05-17,397,201.85714285714286
2025-05-18,84,208.07142857142858
2025-05-19,183,208.07142857142858
2025-05-20,192,210.0
2025-05-21,177,213.28571428571428
2025-05-22,185,218.28571428571428
2025-05-23,242,229.14285714285714
2025-05-24,476,233.21428571428572
2025-05-25,86,237.42857142857142
2025-05-26,204,238.35714285714286
2025-05-27,214,240.71428571428572
2025-05-28,236,253.42857142857142
2025-05-29,335,256.85714285714283
2025-05-30,254,259.07142857142856
2025-05-31,456,268.85714285714283
2025-06-01,97,261.2142857142857
2025-06-02,216,262.14285714285717
2025-06-03,370,267.42857142857144
2025-06-04,225,271.42857142857144
2025-06-05,216,273.7857142857143
2025-06-06,379,273.0
2025-06-07,369,283.5
2025-06-08,99,300.14285714285717
2025-06-09,278,304.85714285714283
2025-06-10,270,313.2142857142857
2025-06-11,269,313.64285714285717
2025-06-12,324,321.0
2025-06-13,401,330.14285714285717
2025-06-14,689,330.7142857142857
2025-06-15,163,355.0
2025-06-16,333,359.85714285714283
2025-06-17,376,367.92857142857144
2025-06-18,328,371.2857142857143
2025-06-19,344,374.42857142857144
2025-06-20,387,374.42857142857144
2025-06-21,709,400.2142857142857
2025-06-22,167,371.57142857142856
2025-06-23,391,364.85714285714283
2025-06-24,317,351.14285714285717
2025-06-25,313,334.5
2025-06-26,324,319.2142857142857
2025-06-27,762,303.2857142857143
2025-06-28,288,284.07142857142856
2025-06-29,69,248.64285714285714
2025-06-30,141,240.0
2025-07-01,143,218.78571428571428
2025-07-02,114,202.28571428571428
2025-07-03,121,186.0
2025-07-04,118,169.0
2025-07-05,213,122.57142857142857
2025-07-06,46,116.28571428571429
2025-07-07,94,114.21428571428571
2025-07-08,86,112.0
2025-07-09,85,109.21428571428571
2025-07-10,86,106.35714285714286
2025-07-11,112,104.57142857142857
2025-07-12,200,104.07142857142857
2025-07-13,40,100.42857142857143
2025-07-14,110,99.5
2025-07-15,104,97.64285714285714
2025-07-16,74,98.14285714285714
2025-07-17,96,97.85714285714286
2025-07-18,111,97.92857142857143
2025-07-19,162,95.07142857142857
2025-07-20,33,93.57142857142857
2025-07-21,68,93.0
2025-07-22,93,91.57142857142857
2025-07-23,81,90.07142857142857
2025-07-24,87,90.92857142857143
2025-07-25,72,89.71428571428571
2025-07-26,179,89.28571428571429
2025-07-27,32,84.42857142857143
2025-07-28,90,84.0
2025-07-29,83,85.14285714285714
2025-07-30,86,83.28571428571429
2025-07-31,79,83.92857142857143
2025-08-01,105,83.57142857142857
2025-08-02,94,86.14285714285714
2025-08-03,27,86.5
2025-08-04,84,86.5
2025-08-05,67,87.21428571428571
2025-08-06,90,89.57142857142857
2025-08-07,82,91.78571428571429
2025-08-08,108,94.07142857142857
2025-08-09,184,96.35714285714286
2025-08-10,32,99.64285714285714
2025-08-11,100,99.14285714285714
2025-08-12,116,100.78571428571429
2025-08-13,117,105.28571428571429
2025-08-14,111,108.14285714285714
2025-08-15,137,111.5
2025-08-16,140,114.21428571428571
2025-08-17,20,124.35714285714286
2025-08-18,107,126.5
2025-08-19,130,129.57142857142858
2025-08-20,130,129.57142857142858
2025-08-21,129,130.07142857142858
2025-08-22,146,132.35714285714286
2025-08-23,326,133.21428571428572
2025-08-24,62,148.14285714285714
2025-08-25,143,151.42857142857142
2025-08-26,116,153.42857142857142
2025-08-27,124,154.14285714285714
2025-08-28,143,156.57142857142858
2025-08-29,149,158.07142857142858
