region,year_month,transaction_count
강동구,2025-04-01,165
강동구,2025-05-01,505
강동구,2025-06-01,870
강동구,2025-07-01,196
강동구,2025-08-01,330
강동구,2025-09-01,792
강동구,2025-10-01,544
강동구,2025-11-01,110
강동구,2025-12-01,212
강동구,2026-01-01,268
강동구,2026-02-01,289
강동구,2026-03-01,229
강동구,2026-04-01,176
강북구,2025-04-01,45
강북구,2025-05-01,112
강북구,2025-06-01,161
강북구,2025-07-01,78
강북구,2025-08-01,88
강북구,2025-09-01,116
강북구,2025-10-01,117
강북구,2025-11-01,70
강북구,2025-12-01,114
강북구,2026-01-01,123
강북구,2026-02-01,159
강북구,2026-03-01,140
강북구,2026-04-01,83
강서구,2025-04-01,200
강서구,2025-05-01,437
강서구,2025-06-01,560
강서구,2025-07-01,235
강서구,2025-08-01,264
강서구,2025-09-01,584
강서구,2025-10-01,584
강서구,2025-11-01,182
강서구,2025-12-01,298
강서구,2026-01-01,365
강서구,2026-02-01,395
강서구,2026-03-01,355
강서구,2026-04-01,254
관악구,2025-04-01,97
관악구,2025-05-01,211
관악구,2025-06-01,295
관악구,2025-07-01,142
관악구,2025-08-01,137
관악구,2025-09-01,289
관악구,2025-10-01,286
관악구,2025-11-01,99
관악구,2025-12-01,162
관악구,2026-01-01,192
관악구,2026-02-01,218
관악구,2026-03-01,215
관악구,2026-04-01,116
광진구,2025-04-01,87
광진구,2025-05-01,225
광진구,2025-06-01,324
광진구,2025-07-01,71
광진구,2025-08-01,97
광진구,2025-09-01,288
광진구,2025-10-01,244
광진구,2025-11-01,36
광진구,2025-12-01,65
광진구,2026-01-01,64
광진구,2026-02-01,77
광진구,2026-03-01,57
광진구,2026-04-01,52
구로구,2025-04-01,156
구로구,2025-05-01,365
구로구,2025-06-01,446
구로구,2025-07-01,201
구로구,2025-08-01,216
구로구,2025-09-01,330
구로구,2025-10-01,335
구로구,2025-11-01,162
구로구,2025-12-01,275
구로구,2026-01-01,304
구로구,2026-02-01,368
구로구,2026-03-01,370
구로구,2026-04-01,212
금천구,2025-04-01,26
금천구,2025-05-01,71
금천구,2025-06-01,128
금천구,2025-07-01,58
금천구,2025-08-01,66
금천구,2025-09-01,82
금천구,2025-10-01,93
금천구,2025-11-01,51
금천구,2025-12-01,80
금천구,2026-01-01,118
금천구,2026-02-01,97
금천구,2026-03-01,115
금천구,2026-04-01,79
노원구,2025-04-01,229
노원구,2025-05-01,521
노원구,2025-06-01,802
노원구,2025-07-01,315
노원구,2025-08-01,364
노원구,2025-09-01,567
노원구,2025-10-01,638
노원구,2025-11-01,232
노원구,2025-12-01,487
노원구,2026-01-01,524
노원구,2026-02-01,787
노원구,2026-03-01,740
노원구,2026-04-01,432
도봉구,2025-04-01,77
도봉구,2025-05-01,149
도봉구,2025-06-01,280
도봉구,2025-07-01,134
도봉구,2025-08-01,136
도봉구,2025-09-01,191
도봉구,2025-10-01,154
도봉구,2025-11-01,98
도봉구,2025-12-01,139
도봉구,2026-01-01,167
도봉구,2026-02-01,198
도봉구,2026-03-01,245
도봉구,2026-04-01,165
동대문구,2025-04-01,195
동대문구,2025-05-01,330
동대문구,2025-06-01,509
동대문구,2025-07-01,183
동대문구,2025-08-01,216
동대문구,2025-09-01,484
동대문구,2025-10-01,518
동대문구,2025-11-01,142
동대문구,2025-12-01,254
동대문구,2026-01-01,292
동대문구,2026-02-01,232
동대문구,2026-03-01,226
동대문구,2026-04-01,151
동작구,2025-04-01,181
동작구,2025-05-01,485
동작구,2025-06-01,608
동작구,2025-07-01,140
동작구,2025-08-01,199
동작구,2025-09-01,484
동작구,2025-10-01,408
동작구,2025-11-01,77
동작구,2025-12-01,145
동작구,2026-01-01,200
동작구,2026-02-01,187
동작구,2026-03-01,172
동작구,2026-04-01,128
마포구,2025-04-01,154
마포구,2025-05-01,432
마포구,2025-06-01,657
마포구,2025-07-01,126
마포구,2025-08-01,181
마포구,2025-09-01,526
마포구,2025-10-01,413
마포구,2025-11-01,88
마포구,2025-12-01,134
마포구,2026-01-01,158
마포구,2026-02-01,147
마포구,2026-03-01,147
마포구,2026-04-01,77
서대문구,2025-04-01,134
서대문구,2025-05-01,322
서대문구,2025-06-01,501
서대문구,2025-07-01,121
서대문구,2025-08-01,142
