region,before_count,after_count,count_change,count_change_pct,before_daily_avg,after_daily_avg,daily_avg_change_pct,before_share_pct,after_share_pct,share_change_pp
성동구,2557,785,-1772,-69.29996089166993,13.972677595628415,4.313186813186813,-69.13127935810766,6.85449281578383,2.878726759323774,-3.9757660564600563
광진구,1210,477,-733,-60.578512396694215,6.612021857923497,2.620879120879121,-60.361910816456266,3.2436199871327474,1.7492390626718985,-1.4943809244608488
마포구,2315,925,-1390,-60.043196544276455,12.650273224043715,5.082417582417582,-59.823653668146115,6.205768818357281,3.3921302578018993,-2.8136385605553813
동작구,2321,1093,-1228,-52.90822921154674,12.683060109289617,6.0054945054945055,-52.6494832182036,6.221852884409178,4.00821445597565,-2.213638428433528
강동구,3165,1521,-1644,-51.94312796208531,17.295081967213115,8.357142857142858,-51.67907921462424,8.484344842376153,5.5777622941802045,-2.9065825481959484
영등포구,2540,1543,-997,-39.25196850393701,13.879781420765028,8.478021978021978,-38.9181881111015,6.808921295303453,5.658439986798196,-1.150481308505257
중구,689,456,-233,-33.81712626995646,3.7650273224043715,2.5054945054945055,-33.45348410660457,1.8469869182929446,1.6722285379001798,-0.1747583803927648
동대문구,2202,1530,-672,-30.517711171662125,12.032786885245901,8.406593406593407,-30.135940353924003,5.902852241046537,5.610766804796655,-0.2920854362498817
양천구,1905,1374,-531,-27.874015748031493,10.40983606557377,7.549450549450549,-27.47771913126244,5.10669097147759,5.0386886207781725,-0.06800235069941785
서대문구,1776,1409,-367,-20.664414414414413,9.704918032786885,7.741758241758242,-20.228504603504604,4.760883551361784,5.167039495397704,0.4061559440359197
강서구,2622,2091,-531,-20.251716247139587,14.327868852459016,11.489010989010989,-19.813538863882112,7.0287368646793915,7.668047966555429,0.6393111018760376
종로구,360,290,-70,-19.444444444444446,1.9672131147540983,1.5934065934065933,-19.001831501831507,0.9650439631138753,1.0634786754189738,0.09843471230509848
성북구,2467,2059,-408,-16.538305634373735,13.480874316939891,11.313186813186814,-16.079724896101062,6.613231825005361,7.5506985954747154,0.9374667704693547
관악구,1299,1160,-139,-10.700538876058506,7.098360655737705,6.373626373626373,-10.209882496256633,3.4822003002359,4.253914701675895,0.7717144014399953
구로구,1894,1846,-48,-2.534318901795143,10.349726775956285,10.142857142857142,-1.9987931814753441,5.07720351704911,6.76959184421871,1.6923883271696
은평구,1584,1606,22,1.3888888888888888,8.655737704918034,8.824175824175825,1.9459706959706946,4.24619343770105,5.889471561113352,1.6432781234123013
도봉구,1041,1092,51,4.899135446685879,5.688524590163935,6.0,5.4755043227665645,2.790585460004289,4.004547288129378,1.2139618281250888
중랑구,1077,1184,107,9.935004642525534,5.885245901639344,6.5054945054945055,10.539043129572384,2.8870898563156766,4.341926729986431,1.4548368736707546
노원구,3141,3497,356,11.333970073225087,17.16393442622951,19.214285714285715,11.945695183517529,8.420008578168561,12.824085958414317,4.404077380245756
강북구,655,751,96,14.656488549618322,3.579234972677596,4.126373626373627,15.286469255934913,1.7558438773321896,2.7540430525505153,0.9981991752183257
금천구,484,580,96,19.834710743801654,2.6448087431693987,3.1868131868131866,20.493143220415945,1.2974479948530988,2.1269573508379476,0.8295093559848488
